Age,immigration,ifr,icu_rate,vaccine_rate_first_year,vaccine_rate_post_first_year,Mortality,Population,
1,50.22831,0.000006,0,0,0,2.88E-09,1,
2,50.22831,0.000007,0,0,0,1.87E-09,3922044,
3,50.22831,0.000008,0,0,0,1.47E-09,3998665,
4,50.22831,0.000009,0,0,0,1.14E-09,4043323,
5,50.22831,0.00001,0,0,0,1.02E-09,4028281,
6,50.22831,0.000011,0,0,0.001769863,9.35E-10,4017227,
7,50.22831,0.000013,0,0,0.001769863,8.67E-10,4022319,
8,50.22831,0.000014,0,0,0.001769863,7.96E-10,4066194,
9,50.22831,0.000016,0,0,0.001769863,7.36E-10,4061874,
10,50.22831,0.000018,0,0,0.001769863,7.09E-10,4060940,
11,50.22831,0.00002,0.0408,0,0.001769863,7.77E-10,4189261,
12,50.22831,0.000023,0.0408,0,0.001769863,9.91E-10,4208387,
13,50.22831,0.000026,0.0408,0.098,0.001769863,1.39E-09,4175221,
14,50.22831,0.000029,0.0408,0.098,0.001460274,1.93E-09,4164459,
15,50.22831,0.000033,0.0408,0.098,0.001460274,2.54E-09,4175459,
16,50.22831,0.000037,0.0408,0.098,0.001460274,3.15E-09,4150420,
17,50.22831,0.000042,0.0408,0.098,0.001460274,3.80E-09,4142425,
18,50.22831,0.000047,0.0408,0.356,0.001460274,4.48E-09,4255827,
19,133.56164,0.000053,0.0408,0.356,0.001052055,5.17E-09,4330439,
20,133.56164,0.00006,0.0408,0.356,0.001052055,5.90E-09,4269683,
21,133.56164,0.000068,1.04,0.356,0.001052055,6.61E-09,4278323,
22,133.56164,0.000077,1.04,0.356,0.001052055,7.21E-09,4298772,
23,133.56164,0.000087,1.04,0.356,0.001052055,7.67E-09,4341644,
24,133.56164,0.000098,1.04,0.356,0.001052055,8.02E-09,4444518,
25,133.56164,0.00011,1.04,0.423,0.001052055,8.34E-09,4539058,
26,133.56164,0.000124,1.04,0.423,0.001052055,8.67E-09,4611220,
27,133.56164,0.00014,1.04,0.423,0.001052055,9.01E-09,4733869,
28,133.56164,0.000158,1.04,0.423,0.001052055,9.37E-09,4818725,
29,133.56164,0.000179,1.04,0.423,0.001052055,9.74E-09,4806144,
30,133.56164,0.000202,1.04,0.423,0.001052055,1.01E-08,4614384,
31,90.41096,0.000228,3.43,0.423,0.001052055,1.05E-08,4502311,
32,90.41096,0.000257,3.43,0.423,0.001052055,1.09E-08,4421505,
33,90.41096,0.00029,3.43,0.423,0.001052055,1.13E-08,4432973,
34,90.41096,0.000327,3.43,0.423,0.001052055,1.17E-08,4460132,
35,90.41096,0.000369,3.43,0.423,0.001052055,1.21E-08,4315866,
36,90.41096,0.000416,3.43,0.423,0.001052055,1.26E-08,4372444,
37,90.41096,0.00047,3.43,0.423,0.001052055,1.31E-08,4361286,
38,90.41096,0.00053,3.43,0.423,0.001052055,1.36E-08,4305576,
39,90.41096,0.000598,3.43,0.423,0.001052055,1.41E-08,4382349,
