Age,Immigration,IFR (old),ICU,Vax 1st year (COVID),Vax 2nd year (flu),Natural Mortality,Population (2021),CDC rate (annual),Daily Natural Mortality,,,,,,
1,50.22831,0.000006,0,0,0,2.88E-09,1,0.005849,1.60E-05,,,"Discuss IFR, ICU",,,
2,50.22831,0.000007,0,0,0,1.87E-09,3922044,0.000403,1.10E-06,,,,,,
3,50.22831,0.000008,0,0,0,1.47E-09,3998665,0.000259,7.10E-07,,,Replace vax coverage rate for 1st yar,,,
4,50.22831,0.000009,0,0,0,1.14E-09,4043323,0.000208,5.70E-07,,,Check average IFR,,,
5,50.22831,0.00001,0,0,0,1.02E-09,4028281,0.000155,4.25E-07,,,Use 50% of baseline IFR values,,,
6,50.22831,0.000011,0,0,0.001769863,9.35E-10,4017227,0.000144,3.95E-07,,,Check that average weighted IFR is around 1%,,,
7,50.22831,0.000013,0,0,0.001769863,8.67E-10,4022319,0.000132,3.62E-07,,,ICU/IFR ratio needed,,,
8,50.22831,0.000014,0,0,0.001769863,7.96E-10,4066194,0.000121,3.32E-07,,,multiply by factor to get some new values ,,,
9,50.22831,0.000016,0,0,0.001769863,7.36E-10,4061874,0.000109,2.99E-07,,,Use omicron IFR for IFR data; current virus IFR ,,,
10,50.22831,0.000018,0,0,0.001769863,7.09E-10,4060940,0.000096,2.63E-07,,,"Take IFR for previous strain, mutliply that one by some factor in absence of data",,,
11,50.22831,0.00002,0.0408,0,0.001769863,7.77E-10,4189261,0.000091,2.49E-07,,,"For ICU take one by age, multiply by 50%, check ICU/case ratio for different lineages",,,
12,50.22831,0.000023,0.0408,0,0.001769863,9.91E-10,4208387,0.000107,2.93E-07,,,Use reporting rate to get rough estimate age agnostic,,,
13,50.22831,0.000026,0.0408,0.098,0.001769863,1.39E-09,4175221,0.000159,4.36E-07,,,Use 0.5 as an estimate ,,,
14,50.22831,0.000029,0.0408,0.098,0.001460274,1.93E-09,4164459,0.000255,6.99E-07,,,"IFR,ICU risk look at absolute risk with respect to delta ",,,
15,50.22831,0.000033,0.0408,0.098,0.001460274,2.54E-09,4175459,0.000385,1.05E-06,,,"Fitting 6 parameters with one curve, all parameters are correlated",,,
16,50.22831,0.000037,0.0408,0.098,0.001460274,3.15E-09,4150420,0.000529,1.45E-06,,,,,,
17,50.22831,0.000042,0.0408,0.098,0.001460274,3.80E-09,4142425,0.000676,1.85E-06,,,parameters,,,
18,50.22831,0.000047,0.0408,0.356,0.001460274,4.48E-09,4255827,0.000831,2.28E-06,,,"change IFR, ICU probability",,,
19,133.56164,0.000053,0.0408,0.356,0.001052055,5.17E-09,4330439,0.000991,2.72E-06,,,what is total IFR? ,,,
20,133.56164,0.00006,0.0408,0.356,0.001052055,5.90E-09,4269683,0.001152,3.16E-06,,,0.2% IFR? ,,,
21,133.56164,0.000068,1.04,0.356,0.001052055,6.61E-09,4278323,0.00132,3.62E-06,,,,,,
22,133.56164,0.000077,1.04,0.356,0.001052055,7.21E-09,4298772,0.001483,4.06E-06,,,,,,
23,133.56164,0.000087,1.04,0.356,0.001052055,7.67E-09,4341644,0.00162,4.44E-06,,,,,,
24,133.56164,0.000098,1.04,0.356,0.001052055,8.02E-09,4444518,0.001717,4.70E-06,,,,,,
